Starting session: experiment_mix_2_noise0.10_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01', 'P02']
Trade: time=1017.96, price=177, party1=B06, party2=S04
Trade: time=1019.30, price=171, party1=B05, party2=S06
Trade: time=1020.78, price=179, party1=B09, party2=S09
Trade: time=1023.74, price=194, party1=P01, party2=B05
Trade: time=1029.52, price=146, party1=S08, party2=B08
Trade: time=1034.61, price=178, party1=B06, party2=S07
Trade: time=1043.52, price=175, party1=B06, party2=S06
Trade: time=1044.74, price=171, party1=S02, party2=B00
Trade: time=1045.30, price=170, party1=S08, party2=B02
Trade: time=1047.22, price=194, party1=P01, party2=B03
Trade: time=1050.96, price=153, party1=B07, party2=S04
Trade: time=1055.26, price=142, party1=S08, party2=B00
Trade: time=1056.30, price=168, party1=S02, party2=B05
Trade: time=1059.26, price=166, party1=B08, party2=S05
Trade: time=1060.91, price=163, party1=B04, party2=S01
Trade: time=1064.13, price=159, party1=B05, party2=S07
Trade: time=1066.70, price=183, party1=B08, party2=S05
Trade: time=1068.78, price=178, party1=S08, party2=B02
Trade: time=1075.09, price=159, party1=S06, party2=B00
Trade: time=1077.83, price=194, party1=P01, party2=B01
Trade: time=1080.48, price=151, party1=S06, party2=B07
Trade: time=1080.61, price=135, party1=B02, party2=S02
Trade: time=1081.96, price=168, party1=B09, party2=S03
Trade: time=1083.74, price=175, party1=S08, party2=B07
Trade: time=1085.78, price=162, party1=S05, party2=B01
Trade: time=1088.65, price=187, party1=B08, party2=S08
Trade: time=1089.17, price=171, party1=B02, party2=S01
Trade: time=1089.87, price=166, party1=B07, party2=S09
Trade: time=1090.22, price=169, party1=B06, party2=S05
Trade: time=1093.13, price=194, party1=P01, party2=B05
Trade: time=1097.48, price=138, party1=S07, party2=B08
Trade: time=1099.39, price=181, party1=B04, party2=S05
Trade: time=1101.61, price=135, party1=B07, party2=S06
Trade: time=1103.09, price=148, party1=S03, party2=B02
Trade: time=1109.22, price=194, party1=P01, party2=B06
Trade: time=1110.13, price=167, party1=S08, party2=B03
Trade: time=1115.87, price=194, party1=P01, party2=B02
Trade: time=1116.87, price=169, party1=S01, party2=B08
Trade: time=1117.30, price=173, party1=B09, party2=S04
Trade: time=1119.00, price=186, party1=S09, party2=B04
Trade: time=1120.48, price=156, party1=B05, party2=S08
Trade: time=1121.91, price=176, party1=S01, party2=B02
Trade: time=1122.48, price=190, party1=S09, party2=B07
Trade: time=1127.70, price=194, party1=P01, party2=B02
Trade: time=1129.35, price=148, party1=B06, party2=S05
Trade: time=1130.39, price=159, party1=S09, party2=B03
Trade: time=1131.52, price=160, party1=B07, party2=S00
Trade: time=1132.87, price=194, party1=P01, party2=B05
Trade: time=1134.26, price=178, party1=B00, party2=S03
Trade: time=1137.30, price=194, party1=P01, party2=B09
Trade: time=1140.61, price=191, party1=B06, party2=S06
Trade: time=1141.57, price=171, party1=S04, party2=B04
Trade: time=1142.83, price=167, party1=S03, party2=B02
Trade: time=1149.91, price=173, party1=B09, party2=S02
Trade: time=1153.00, price=170, party1=S08, party2=B00
Trade: time=1153.22, price=175, party1=S00, party2=B04
Trade: time=1156.96, price=175, party1=S01, party2=B02
Trade: time=1158.39, price=164, party1=S06, party2=B01
