Starting session: experiment_mix_1_noise0.00_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=1691.73, price=142, party1=B08, party2=S03
Trade: time=1696.68, price=155, party1=B00, party2=S00
Trade: time=1699.59, price=174, party1=S07, party2=B05
Trade: time=1707.73, price=173, party1=B08, party2=S02
Trade: time=1708.27, price=173, party1=B07, party2=S03
Trade: time=1710.00, price=170, party1=B04, party2=S08
Trade: time=1712.32, price=148, party1=B02, party2=S01
Trade: time=1713.95, price=181, party1=P00, party2=B03
Trade: time=1715.41, price=154, party1=B04, party2=S00
Trade: time=1725.91, price=174, party1=B08, party2=S05
Trade: time=1727.55, price=161, party1=B03, party2=S00
Trade: time=1730.55, price=181, party1=P00, party2=B04
Trade: time=1746.14, price=163, party1=S04, party2=B04
Trade: time=1746.45, price=161, party1=B06, party2=S01
Trade: time=1749.91, price=166, party1=S05, party2=B07
Trade: time=1752.68, price=153, party1=B04, party2=S08
Trade: time=1757.95, price=159, party1=B08, party2=S02
Trade: time=1768.41, price=175, party1=B03, party2=S05
Trade: time=1776.00, price=171, party1=S09, party2=B09
Trade: time=1776.77, price=171, party1=S09, party2=B07
Trade: time=1778.86, price=152, party1=S05, party2=B04
Trade: time=1794.27, price=157, party1=S07, party2=B07
Trade: time=1804.55, price=181, party1=P00, party2=B06
Trade: time=1805.91, price=172, party1=S09, party2=B01
Trade: time=1811.73, price=152, party1=B08, party2=S04
Trade: time=1816.14, price=168, party1=S08, party2=B00
Trade: time=1819.18, price=181, party1=P00, party2=B07
Trade: time=1820.55, price=176, party1=B01, party2=S03
Trade: time=1820.77, price=156, party1=S08, party2=B09
Trade: time=1824.73, price=158, party1=B07, party2=S04
Trade: time=1829.77, price=149, party1=S01, party2=B08
Trade: time=1835.64, price=151, party1=S04, party2=B08
Trade: time=1836.68, price=160, party1=S08, party2=B07
Trade: time=1842.68, price=159, party1=B04, party2=S07
Trade: time=1845.09, price=149, party1=B03, party2=S00
Trade: time=1849.36, price=152, party1=B04, party2=S07
Trade: time=1856.82, price=157, party1=B08, party2=S00
Trade: time=1861.18, price=165, party1=B01, party2=S03
Trade: time=1861.86, price=167, party1=S08, party2=B04
